severity,code,archive,task_path,canonical_task_id,label,frame,details
review,repeated_event_tag,defibliration2.zip,task_20,P24_LL,second_paddle_taken,,"frames=292,293"
review,repeated_event_tag,defibliration2.zip,task_15,P25_T,Gel applied,,"frames=159,160"
review,repeated_event_tag,defibliration2.zip,task_15,P25_T,second_paddle_taken,,"frames=363,365"
review,repeated_event_tag,defibliration2.zip,task_14,P26_LL,first_paddle_taken,,"frames=263,264"
review,repeated_event_tag,defibliration2.zip,task_14,P26_LL,second_paddle_taken,,"frames=281,282"
review,repeated_event_tag,defibliration2.zip,task_9,P27_T,both_paddle_buttons_pressed,,"frames=368,374"
review,repeated_event_tag,kartheepan/P32_LS.zip,.,P32_LS,Gel applied,,"frames=179,210"
review,repeated_event_tag,Rashad.zip,task_3,P43_LL,Gel applied,,"frames=144,146,172,175,188"
review,repeated_event_tag,Rashad.zip,task_4,P43_LS,Gel applied,,"frames=167,203"
review,repeated_event_tag,Rashad.zip,task_7,P44_LS,Gel applied,,"frames=190,207"
review,repeated_event_tag,Sharmilan.zip,task_1,P47_LS,paddles_removed_after_shock,,"frames=630,632"
review,repeated_event_tag,Sharmilan.zip,task_7,P49_LS,Gel applied,,"frames=231,232"
review,repeated_event_tag,Sharmilan.zip,task_9,P50_LL,Gel applied,,"frames=153,154"
review,repeated_event_tag,sujeevan.zip,task_0,P52_LL,first_paddle_taken,,"frames=221,225"
review,repeated_event_tag,sujeevan.zip,task_0,P52_LL,second_paddle_taken,,"frames=277,282"
review,standalone_shape_in_video_task,defibliration2.zip,task_4,P29_LS,learner_hand,303,
review,standalone_shape_in_video_task,Sharmilan.zip,task_7,P49_LS,sternal_placement_zone,226,
info,blank_cvat_subset,kartheepan/P01_LL.zip,.,P01_LL,,,A new grouped split will be generated; CVAT subset is ignored.
info,blank_cvat_subset,kartheepan/P04_LL.zip,.,P04_LL,,,A new grouped split will be generated; CVAT subset is ignored.
info,blank_cvat_subset,kartheepan/P06_LL.zip,.,P06_LL,,,A new grouped split will be generated; CVAT subset is ignored.
